?id,opportunity_name,type,active,probability,expected_revenue,recurring_revenue,priority,date_deadline,date_open,date_closed,date_conversion,create_date,write_date,stage_name,stage_sequence,partner_name,partner_email,partner_phone,partner_mobile,partner_street,partner_city,partner_zip,partner_country,lead_contact_name,email_from,phone,mobile,street,city,zip,lead_country,assigned_user_login,assigned_user_name,sales_team,tags,lost_reason,campaign,medium,source
144,"Oportunidad - FinServ Group / Vega, Ricardo",opportunity,t,63.00,155947.06,0.0,0,2026-07-30,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""Qualified""}",2,,,,,,,,,FinServ Group,ricardo.vega@finservgroup.mx,+1 305 0826-2260,+34 91 0331-2345,"Av. Revolución #277, Int. 34",Chihuahua,48548,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
145,"Oportunidad - Agro Exportadora / Molina, María",opportunity,t,41.00,55962.11,0.0,2,2026-03-02,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""Qualified""}",2,,,,,,,,,Agro Exportadora,maria.molina@agroexportad.com.mx,+57 1 5206-7364,+34 91 6275-1146,"Calzada Independencia #773, Int. 17",Tijuana,76490,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
146,"Oportunidad - Capital Partners MX / Vega, Javier",opportunity,t,82.00,78741.06,0.0,1,2026-06-23,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""Proposition""}",3,,,,,,,,,Capital Partners MX,javier.vega@capitalpartn.com,+57 1 0767-6441,+52 33 7252-3716,"Paseo de la Constitución #842, Int. 15",Bogotá,32747,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
147,"Oportunidad - Software Factory / Núñez, María",opportunity,t,16.00,11994.76,0.0,1,2026-06-24,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""Won""}",70,,,,,,,,,Software Factory,maria.nunez@softwarefact.net,+52 55 3908-3326,+1 305 5212-5780,"Calle Héroe de Nacozari #273, Int. 13",San Luis Potosí,37283,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
148,"Oportunidad - TechSolutions Inc / Núñez, Eduardo",opportunity,t,100.00,424621.84,0.0,1,2026-03-04,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""Won""}",70,,,,,,,,,TechSolutions Inc,eduardo.nunez@techsolution.com,+1 305 2397-7507,+57 1 4559-7586,"Calle Principal #611, Int. 24",Ciudad de México,75430,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
149,"Oportunidad - Recursos Humanos Plus / Morales, Lorena",opportunity,t,67.00,20201.07,0.0,0,2026-06-01,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""New""}",1,,,,,,,,,Recursos Humanos Plus,lorena.morale@recursoshuma.mx,+52 81 8457-2265,+34 91 0640-8271,"Calzada Independencia #986, Int. 10",Los Ángeles,35462,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
150,"Oportunidad - Consultora Estratégica / Guerrero, Ximena",opportunity,t,87.00,138959.06,0.0,0,2026-07-15,2026-03-01 16:58:59.955741,,,2026-03-01 16:58:59.955741,2026-03-01 16:58:59.955741,"{""en_US"": ""New""}",1,,,,,,,,,Consultora Estratégica,ximena.guerre@consultoraes.com.mx,+52 55 9059-7572,+52 81 4833-2891,"Paseo de la Constitución #941, Int. 1",Monterrey,89389,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
151,"Oportunidad - MedTech Soluciones / García, Alejandro",opportunity,t,25.00,186531.77,0.0,1,2026-05-15,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,MedTech Soluciones,alejandro.garcia@medtechsoluc.org,+34 91 1356-6035,+57 1 2179-7805,"Calle Héroe de Nacozari #567, Int. 40",San Luis Potosí,27407,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
152,"Oportunidad - Innovatech Ltda. / Silva, Javier",opportunity,t,46.00,379818.77,0.0,2,2026-07-08,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Innovatech Ltda.,javier.silva@innovatechlt.com.mx,+34 91 7239-7614,+57 1 5801-4362,"Calle Álvaro Obregón #334, Int. 5",Querétaro,16388,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
153,"Oportunidad - Química Industrial / Espinoza, Andrés",opportunity,t,75.00,315644.2,0.0,3,2026-08-08,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Química Industrial,andres.espino@quimicaindus.net,+52 81 3548-2578,+52 33 1291-3807,"Av. Lázaro Cárdenas #458, Int. 25",Acapulco,37310,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
154,"Oportunidad - Seguros Confianza / Castillo, Arturo",opportunity,f,0.00,372996.23,0.0,2,2026-03-19,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Seguros Confianza,arturo.castil@segurosconfi.com,+57 1 9594-4392,+52 81 1549-5885,"Callejón Ángel García #921, Int. 36",Hermosillo,21874,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
155,"Oportunidad - Química Industrial / Morales, Carlos",opportunity,t,6.00,106885.34,0.0,0,2026-04-03,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Química Industrial,carlos.morale@quimicaindus.net,+1 305 6913-1770,+52 33 2489-5410,"Av. Revolución #418, Int. 12",Cancún,93383,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
156,"Oportunidad - Diseño & Branding Co / Delgado, Arturo",opportunity,t,5.00,52400.1,0.0,0,2026-06-29,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Diseño & Branding Co,arturo.delgad@disenobrandi.com.mx,+34 91 3610-4341,+52 81 3571-3472,"Av. Reforma #997, Int. 40",Los Ángeles,38806,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
157,"Oportunidad - Grupo Empresarial Norte / Sánchez, Guillermo",opportunity,t,58.00,331582.7,0.0,0,2026-06-09,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Grupo Empresarial Norte,guillermo.sanche@grupoempresa.net,+57 1 3238-1973,+52 55 7600-2030,"Blvd. del Valle #925, Int. 20",Mérida,92260,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
158,"Oportunidad - RetailMáx / Vega, Ana",opportunity,t,62.00,170635.79,0.0,1,2026-05-07,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,RetailMáx,ana.vega@retailmax.net,+52 55 3735-6109,+52 55 5250-1687,"Calzada Independencia #48, Int. 36",San Luis Potosí,20676,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
159,"Oportunidad - Logística Express / Fuentes, Isabel",opportunity,t,83.00,282488.23,0.0,3,2026-08-19,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Logística Express,isabel.fuente@logisticaexp.com,+57 1 3031-3789,+57 1 8799-7803,"Calzada Independencia #476, Int. 5",Juárez,21268,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
160,"Oportunidad - Innovatech Ltda. / Ibarra, Carmen",opportunity,f,0.00,354950.28,0.0,3,2026-03-05,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Innovatech Ltda.,carmen.ibarra@innovatechlt.mx,+1 305 2600-9333,+52 81 0141-9514,"Av. Lázaro Cárdenas #487, Int. 1",Barcelona,29508,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
161,"Oportunidad - BetaWorks / Flores, Héctor",opportunity,t,37.00,477840.5,0.0,3,2026-06-10,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,BetaWorks,hector.flores@betaworks.com,+52 55 0835-4367,+52 55 5565-4985,"Calle Héroe de Nacozari #4, Int. 21",San Luis Potosí,34018,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
162,"Oportunidad - Manufactura Avanzada / Vargas, Alejandro",opportunity,t,52.00,30662.37,0.0,0,2026-07-22,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Manufactura Avanzada,alejandro.vargas@manufacturaa.com.mx,+52 55 7555-9327,+57 1 5566-4837,"Calle Principal #510, Int. 30",Tampico,69370,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
163,"Oportunidad - Telecomunicaciones Unidas / Martínez, Víctor",opportunity,t,7.00,279116.16,0.0,0,2026-08-23,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Telecomunicaciones Unidas,victor.martin@telecomunica.mx,+1 305 5832-4758,+52 81 7236-0607,"Calle Álvaro Obregón #316, Int. 10",Aguascalientes,17749,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
164,"Oportunidad - Software Factory / López, Arturo",opportunity,t,24.00,475322.74,0.0,3,2026-03-24,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Software Factory,arturo.lopez@softwarefact.org,+57 1 0709-0198,+52 33 2650-4407,"Calle Héroe de Nacozari #755, Int. 5",Torreón,97303,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
165,"Oportunidad - Marketing Digital Pro / Peña, Raúl",opportunity,t,100.00,247332.53,0.0,0,2026-03-06,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Marketing Digital Pro,raul.pena@marketingdig.org,+34 91 2963-1970,+52 81 4166-8378,"Callejón Ángel García #164, Int. 2",Lima,46508,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
166,"Oportunidad - Software Factory / Delgado, Jorge",opportunity,t,21.00,277687.11,0.0,2,2026-05-14,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Software Factory,jorge.delgad@softwarefact.net,+52 33 0182-4419,+52 33 0728-7118,"Av. Reforma #595, Int. 12",Ciudad de México,61460,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
167,"Oportunidad - Alimentos del Valle / Díaz, Mónica",opportunity,t,56.00,100200.95,0.0,3,2026-03-21,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Alimentos del Valle,monica.diaz@alimentosdel.com.mx,+52 33 3338-8159,+52 33 9530-9048,"Av. Revolución #818, Int. 14",Ciudad de México,26596,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
168,"Oportunidad - Innovatech Ltda. / Ríos, Claudia",opportunity,t,18.00,260552.41,0.0,3,2026-04-13,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Innovatech Ltda.,claudia.rios@innovatechlt.net,+57 1 5949-7950,+52 81 3049-1637,"Callejón Ángel García #129, Int. 48",Torreón,61020,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
169,"Oportunidad - Consulting Partners / Castro, Elena",opportunity,t,15.00,228962.43,0.0,1,2026-07-22,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Consulting Partners,elena.castro@consultingpa.com,+34 91 0431-8096,+52 81 2199-9338,"Calzada Independencia #640, Int. 45",Toluca,69724,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
170,"Oportunidad - Energía Renovable SA / Ibarra, Carlos",opportunity,t,28.00,281120.08,0.0,2,2026-08-01,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Energía Renovable SA,carlos.ibarra@energiarenov.com,+57 1 4415-9987,+52 33 5818-9842,"Paseo de la Constitución #794, Int. 43",Chihuahua,28023,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
171,"Oportunidad - Electrónica Avanzada / Peña, Guillermo",opportunity,t,44.00,479175.36,0.0,1,2026-03-14,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Electrónica Avanzada,guillermo.pena@electronicaa.mx,+1 305 9685-0126,+52 81 4813-5246,"Blvd. del Valle #649, Int. 50",Hermosillo,45825,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
172,"Oportunidad - Electrónica Avanzada / Herrera, Claudia",opportunity,t,63.00,97497.35,0.0,3,2026-06-05,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Electrónica Avanzada,claudia.herrer@electronicaa.com.mx,+34 91 5933-8542,+52 55 2403-8509,"Calle Héroe de Nacozari #794, Int. 30",Madrid,62988,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
173,"Oportunidad - TechSolutions Inc / Lara, Ricardo",opportunity,t,31.00,412851.91,0.0,1,2026-08-21,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,TechSolutions Inc,ricardo.lara@techsolution.com,+52 81 2986-2909,+34 91 0396-0821,"Calle Álvaro Obregón #162, Int. 49",Nueva York,36664,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
174,"Oportunidad - Global Ventures / Castillo, Víctor",opportunity,t,8.00,17217.78,0.0,0,2026-05-27,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Global Ventures,victor.castil@globalventur.mx,+52 55 1565-2873,+52 81 0472-7629,"Blvd. del Valle #354, Int. 8",Guadalajara,23400,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
175,"Oportunidad - Inversiones del Golfo / Soto, Elena",opportunity,t,35.00,52205.86,0.0,3,2026-03-02,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Inversiones del Golfo,elena.soto@inversionesd.com.mx,+57 1 6354-3826,+1 305 4115-4604,"Paseo de la Constitución #483, Int. 24",Lima,79186,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
176,"Oportunidad - Consultora Estratégica / Suárez, Valentina",opportunity,t,86.00,451790.67,0.0,2,2026-03-23,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Consultora Estratégica,valentina.suarez@consultoraes.com,+57 1 6537-6668,+52 33 6912-2160,"Paseo de la Constitución #110, Int. 8",Veracruz,70524,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
177,"Oportunidad - Constructora del Pacífico / Jiménez, Susana",opportunity,t,44.00,146862.95,0.0,1,2026-06-25,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Constructora del Pacífico,susana.jimene@constructora.mx,+52 81 8711-6521,+52 33 9758-2949,"Callejón Ángel García #323, Int. 35",Mérida,55071,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
178,"Oportunidad - BetaWorks / Guerrero, Fernando",opportunity,t,75.00,421660.01,0.0,3,2026-08-02,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,BetaWorks,fernando.guerre@betaworks.net,+1 305 2692-8986,+52 55 2371-8055,"Calzada Independencia #716, Int. 25",Ciudad de México,87992,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
179,"Oportunidad - Recursos Humanos Plus / Fuentes, Natalia",opportunity,t,17.00,23184.31,0.0,3,2026-05-26,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Recursos Humanos Plus,natalia.fuente@recursoshuma.org,+52 81 8669-4522,+1 305 8965-2423,"Av. Reforma #428, Int. 11",Buenos Aires,52916,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
180,"Oportunidad - Publicidad Creativa / Mendoza, Camila",opportunity,t,58.00,343010.91,0.0,0,2026-05-28,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Publicidad Creativa,camila.mendoz@publicidadcr.com.mx,+34 91 5442-2231,+57 1 4484-5041,"Calzada Independencia #133, Int. 30",Mexicali,14193,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
181,"Oportunidad - TechSolutions Inc / Blanco, Sofía",opportunity,t,28.00,152439.87,0.0,0,2026-05-20,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,TechSolutions Inc,sofia.blanco@techsolution.mx,+57 1 7383-0484,+52 33 5749-4868,"Calle Héroe de Nacozari #808, Int. 42",Aguascalientes,43446,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
182,"Oportunidad - Servicios Integrales SA / Ríos, Arturo",opportunity,f,0.00,407183.86,0.0,0,2026-06-12,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Servicios Integrales SA,arturo.rios@serviciosint.mx,+52 33 7927-2710,+34 91 8246-2118,"Calzada Independencia #299, Int. 26",Buenos Aires,88887,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
183,"Oportunidad - RetailMáx / Ríos, Pablo",opportunity,t,55.00,107810.47,0.0,0,2026-06-10,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,RetailMáx,pablo.rios@retailmax.com.mx,+52 55 6469-3197,+52 33 8367-8030,"Callejón Ángel García #502, Int. 18",Ciudad de México,91745,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
184,"Oportunidad - BetaWorks / Ortiz, Patricia",opportunity,t,18.00,132069.83,0.0,0,2026-03-12,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,BetaWorks,patricia.ortiz@betaworks.com.mx,+52 81 9873-1547,+52 55 9746-3822,"Av. Reforma #95, Int. 14",León,78918,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
185,"Oportunidad - Importadora del Sur / Mendoza, Roberto",opportunity,t,22.00,347654.45,0.0,0,2026-05-28,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Importadora del Sur,roberto.mendoz@importadorad.com.mx,+1 305 8056-8501,+57 1 1727-1858,"Av. Lázaro Cárdenas #738, Int. 27",Madrid,45972,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
186,"Oportunidad - Grupo Empresarial Norte / Castro, Ricardo",opportunity,f,0.00,317078.19,0.0,3,2026-07-31,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Grupo Empresarial Norte,ricardo.castro@grupoempresa.org,+52 33 8259-8857,+34 91 2413-1240,"Calle Álvaro Obregón #847, Int. 47",León,58198,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
187,"Oportunidad - Energía Renovable SA / Ruiz, Fernando",opportunity,t,49.00,176064.54,0.0,3,2026-06-13,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Energía Renovable SA,fernando.ruiz@energiarenov.com.mx,+57 1 7144-4062,+52 33 5127-1839,"Calle Héroe de Nacozari #919, Int. 37",Los Ángeles,59334,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
188,"Oportunidad - Grupo Empresarial Norte / Sánchez, Héctor",opportunity,t,8.00,460545.01,0.0,1,2026-07-21,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Grupo Empresarial Norte,hector.sanche@grupoempresa.net,+52 81 9429-3808,+1 305 3830-5672,"Calzada Independencia #784, Int. 44",Mérida,14980,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
189,"Oportunidad - Inmobiliaria Horizonte / Ramírez, Héctor",opportunity,t,75.00,396762.56,0.0,0,2026-04-18,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Inmobiliaria Horizonte,hector.ramire@inmobiliaria.com,+34 91 2685-7557,+52 81 0996-2154,"Av. Lázaro Cárdenas #950, Int. 44",Veracruz,72310,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
190,"Oportunidad - Recursos Humanos Plus / Fuentes, Isabel",opportunity,t,21.00,40993.04,0.0,1,2026-06-16,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Recursos Humanos Plus,isabel.fuente@recursoshuma.org,+52 33 3326-5870,+57 1 5723-1910,"Av. Revolución #77, Int. 15",Bogotá,16783,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
191,"Oportunidad - Agro Exportadora / Fuentes, Pablo",opportunity,t,73.00,95550.74,0.0,3,2026-04-11,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Agro Exportadora,pablo.fuente@agroexportad.mx,+34 91 2754-7538,+1 305 5398-6056,"Paseo de la Constitución #76, Int. 20",Bogotá,80654,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
192,"Oportunidad - Bienes Raíces Élite / Soto, Víctor",opportunity,t,50.00,375431.07,0.0,3,2026-07-01,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,Bienes Raíces Élite,victor.soto@bienesraices.net,+57 1 4151-8824,+1 305 7699-7576,"Av. Lázaro Cárdenas #829, Int. 43",Mexicali,32675,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
193,"Oportunidad - Catering Ejecutivo / Jiménez, Sergio",opportunity,t,18.00,95579.1,0.0,0,2026-05-03,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Catering Ejecutivo,sergio.jimene@cateringejec.net,+52 55 0668-8367,+52 81 1404-3707,"Callejón Ángel García #278, Int. 22",San Luis Potosí,71969,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
194,"Oportunidad - Turismo y Hospitalidad / Soto, Ricardo",opportunity,t,46.00,345297.75,0.0,3,2026-07-27,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Turismo y Hospitalidad,ricardo.soto@turismoyhosp.com.mx,+52 81 3453-7215,+52 55 1204-6351,"Callejón Ángel García #909, Int. 18",Culiacán,32539,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
195,"Oportunidad - MedTech Soluciones / Delgado, Daniela",opportunity,t,64.00,23615.57,0.0,1,2026-08-14,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,MedTech Soluciones,daniela.delgad@medtechsoluc.com,+52 55 6579-3661,+52 55 2074-9304,"Av. Revolución #701, Int. 47",León,29572,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
196,"Oportunidad - Textiles Modernos / López, Sofía",opportunity,t,8.00,247639.62,0.0,0,2026-05-17,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Textiles Modernos,sofia.lopez@textilesmode.net,+52 55 0377-4993,+1 305 3486-9321,"Paseo de la Constitución #17, Int. 6",Hermosillo,63744,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
197,"Oportunidad - Textiles Modernos / Ramírez, Eduardo",opportunity,t,100.00,172684.45,0.0,2,2026-07-04,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Won""}",70,,,,,,,,,Textiles Modernos,eduardo.ramire@textilesmode.net,+52 33 7115-3745,+52 81 3000-0585,"Calle Principal #405, Int. 35",Tampico,73680,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
198,"Oportunidad - Seguridad Integral / Ponce, Antonio",opportunity,t,84.00,34689.71,0.0,0,2026-07-14,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Proposition""}",3,,,,,,,,,Seguridad Integral,antonio.ponce@seguridadint.mx,+52 33 8428-6474,+1 305 1766-6642,"Av. Reforma #82, Int. 44",Veracruz,18053,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
199,"Oportunidad - Seguridad Integral / Campos, Susana",opportunity,t,26.00,381122.05,0.0,2,2026-07-14,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""New""}",1,,,,,,,,,Seguridad Integral,susana.campos@seguridadint.org,+52 33 4980-8783,+52 81 4136-4784,"Paseo de la Constitución #962, Int. 45",Torreón,14503,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
200,"Oportunidad - AutoPartes Premium / Núñez, Adriana",opportunity,t,8.00,292191.95,0.0,0,2026-08-07,2026-03-01 16:59:00.885244,,,2026-03-01 16:59:00.885244,2026-03-01 16:59:00.885244,"{""en_US"": ""Qualified""}",2,,,,,,,,,AutoPartes Premium,adriana.nunez@autopartespr.net,+57 1 7756-1672,+52 55 9067-3132,"Av. Reforma #355, Int. 35",Cancún,65303,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
